         11317425 function calls (11317419 primitive calls) in 16.120 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.018    0.018   16.120   16.120 /home/maxim/PycharmProjects/minicity/game.py:11(main)
     1193    2.423    0.002    8.954    0.008 /home/maxim/PycharmProjects/minicity/ui.py:14(draw)
  5582828    5.877    0.000    5.877    0.000 {built-in method pygame.draw.circle}
     1193    3.976    0.003    3.976    0.003 {method 'tick' of 'pygame.time.Clock' objects}
     1193    2.526    0.002    2.526    0.002 {built-in method pygame.display.flip}
  5582828    0.644    0.000    0.644    0.000 /home/maxim/PycharmProjects/minicity/helper.py:39(world_space_to_screen_space)
     1193    0.362    0.000    0.362    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
        1    0.167    0.167    0.167    0.167 {built-in method pygame.display.set_mode}
      597    0.001    0.000    0.054    0.000 /home/maxim/PycharmProjects/minicity/simulation.py:44(tick)
      597    0.001    0.000    0.044    0.000 /home/maxim/PycharmProjects/minicity/simulation.py:6(build_road)
       99    0.025    0.000    0.039    0.000 /home/maxim/PycharmProjects/minicity/helper.py:66(add_to_hovered_points_list)
        1    0.029    0.029    0.030    0.030 {built-in method pygame.base.init}
     1193    0.023    0.000    0.023    0.000 {built-in method pygame.event.get}
    79972    0.010    0.000    0.010    0.000 {method 'keys' of 'dict' objects}
      597    0.004    0.000    0.009    0.000 /home/maxim/PycharmProjects/minicity/simulation.py:29(find_possible_hovered_road_points)
     1193    0.006    0.000    0.006    0.000 {built-in method pygame.draw.rect}
     1475    0.005    0.000    0.005    0.000 {method 'extend' of 'list' objects}
     1193    0.005    0.000    0.005    0.000 {built-in method pygame.key.get_pressed}
    40174    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
       99    0.002    0.000    0.004    0.000 /home/maxim/PycharmProjects/minicity/generator.py:39(three_points_to_road_curve)
     1193    0.001    0.000    0.003    0.000 /home/maxim/PycharmProjects/minicity/helper.py:10(screen_space_to_tile_space)
     1193    0.001    0.000    0.002    0.000 /home/maxim/PycharmProjects/minicity/helper.py:45(tile_space_to_screen_space)
     1193    0.002    0.000    0.002    0.000 {built-in method pygame.mouse.get_pos}
     1193    0.001    0.000    0.001    0.000 /home/maxim/PycharmProjects/minicity/tilemap.py:30(get_all_tiles)
     1233    0.001    0.000    0.001    0.000 /home/maxim/PycharmProjects/minicity/helper.py:61(bezier_point)
     1196    0.001    0.000    0.001    0.000 /home/maxim/PycharmProjects/minicity/helper.py:32(screen_space_to_world_space)
     1979    0.001    0.000    0.001    0.000 /home/maxim/PycharmProjects/minicity/helper.py:15(world_space_to_tile_space)
     3861    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
     1232    0.001    0.000    0.001    0.000 /home/maxim/PycharmProjects/minicity/helper.py:52(calculate_distance)
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
